ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
CYP,Cyprus,"[32.26, 34.57, 34.0, 35.17]",39.5,39.90625,42.09375,43.1875,41.40625,42.59375,41.5,41.8125,40.40625,42.3125,40.09375,40.1875,43.09375,40.8125,43.40625,40.1875,42.40625,40.8125,43.40625,40.90625,41.3125,42.09375,40.5,40.40625,39.40625,40.6875,42.40625,40.1875,41.6875,41.6875,43.5,44.40625,41.8125,41.3125,42.1875,44.09375,42.59375,44.59375,42.59375,41.90625,42.3125,42.40625,42.8125,46.6875,43.1875,42.40625,44,43.59375,43.1875,46.09375,43.6875,43.6875,43,44.5,44.59375,43.5
CZE,Czech Republic,"[12.24, 48.56, 18.85, 51.12]",41.09375,39.5,48.59375,42.59375,47.59375,43.59375,43.1875,44.6875,39.3125,42.1875,44.40625,42.90625,45.6875,44.09375,43.6875,41.90625,43.1875,42.40625,44.40625,46.3125,46.8125,43.40625,45.1875,45.5,44,39.8125,46.3125,44,49.40625,56.5,44,48.09375,47,47.5,46.5,46.90625,46.40625,47.6875,53.3125,44.3125,51.09375,47.09375,50.59375,43.40625,46,46.3125,45.40625,47.8125,48.3125,48.09375,48.5,46.6875,53.6875,51.90625,49.3125,49.3125
DEU,Germany,"[5.99, 47.3, 15.02, 54.98]",36.6875,42.09375,40.8125,37.40625,44.1875,38.3125,40.6875,41.40625,39.40625,42.40625,44.09375,38.59375,42.59375,44.09375,40.8125,42.3125,41.09375,40.8125,45.3125,46.09375,41.3125,42.90625,42.40625,45.5,46.5,41.3125,44.59375,44.5,45.40625,57.1875,43.40625,49.8125,46.09375,46.90625,42.09375,46.3125,45.8125,44.1875,42.8125,44.5,42.6875,45.8125,44.90625,49.8125,44.1875,48.40625,44.40625,45.40625,46.3125,43.6875,47.59375,45.6875,47.5,48.8125,54.90625,48.90625
DJI,Djibouti,"[41.66, 10.93, 43.32, 12.7]",47.90625,55.90625,59.40625,48.5,66.8125,59.40625,52.3125,57.1875,48,47.6875,54.3125,63.5,69.625,69.3125,59,65.625,48.40625,54.8125,51.59375,64,56.40625,62.6875,74.1875,55.90625,53.5,49.1875,50.09375,53.1875,55.09375,51.5,49.90625,53.5,50.90625,56.3125,58.1875,56.90625,66.375,59.40625,72.125,52.6875,53.8125,52.59375,56.40625,51.3125,50.6875,52,59.6875,61.09375,51.59375,51.6875,51.8125,51.5,56.40625,56.09375,67.5,51.90625
DNK,Denmark,"[8.09, 54.8, 12.69, 57.73]",25.5,33.5,38.6875,30.5,34.40625,28.203125,28.703125,29.5,29.40625,34.59375,36.40625,34,34.5,32.59375,31.09375,35.5,33.8125,31.703125,39.09375,33.3125,30.5,35.90625,35.09375,33.90625,31.40625,28.5,35.8125,34,35,38.09375,35.59375,36.90625,32.3125,37.6875,35.1875,35.6875,39.40625,32.5,36.40625,35.5,34.6875,35,38.90625,33.3125,39.6875,39.40625,35.5,32.40625,39.6875,38.90625,38.90625,36.40625,38.3125,38.5,36.8125,41.09375
DOM,Dominican Republic,"[-71.95, 17.6, -68.32, 19.88]",39.3125,37,38.5,39.5,37.59375,38.59375,38.09375,38.09375,38.8125,41.1875,37.40625,38.90625,43.3125,38.09375,38.1875,39,41.40625,39.5,39.3125,49.3125,39.8125,48.3125,39.90625,44.40625,39.90625,39.1875,43.40625,47.3125,43.8125,39.8125,40.90625,39,40.40625,49.1875,41.09375,41.1875,40.6875,47.40625,41.5,44,41,40.40625,40.90625,56,40,41.59375,44.1875,45.3125,41.90625,41.3125,42.8125,43,42,42.40625,42.09375,44.1875
DZA,Algeria,"[-8.68, 19.06, 12.0, 37.12]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,"[-80.97, -4.96, -75.23, 1.38]",39.8125,40.09375,42.40625,42,40.90625,39.1875,40.3125,38.8125,43.3125,41.3125,40.6875,37.90625,41.6875,40.09375,40.59375,42.8125,44.5,40.90625,38,41,37,38.40625,44.09375,42.3125,42,45.1875,44.90625,46.1875,42.90625,41,42.09375,40.6875,44,42.90625,42.59375,47.1875,43,42.6875,48,44.40625,45.09375,43.5,44.3125,47.59375,47.40625,43.3125,43.90625,46.09375,46.09375,46.1875,43.59375,45.8125,49.1875,45.1875,46,47.40625
EGY,Egypt,"[24.7, 22.0, 36.87, 31.59]",51.40625,48.5,51.90625,51.5,53.5,51.8125,53,52.09375,50,51,50.3125,53.3125,75.625,50.8125,51.59375,50.5,51.09375,49.90625,52.3125,53.59375,51,52,58.59375,49.1875,51.40625,51.40625,52.3125,52.3125,50.5,61,52.3125,52.1875,51.8125,58.5,53.90625,53.1875,51.5,55.5,69.375,57.6875,53.40625,52.8125,58,54.1875,53.90625,52.5,53.90625,54.1875,54.5,52.90625,53.90625,53,53.6875,53.1875,54.8125,63.90625
ERI,Eritrea,"[36.32, 12.46, 43.08, 18.0]",57.90625,52.3125,59.90625,54.8125,65.3125,62.09375,71.3125,61,54,57.90625,61.5,56.09375,69.625,69.3125,70.3125,61.09375,69.125,56.09375,76.8125,64,63.5,60.40625,74.1875,58.3125,60.6875,61.90625,62.59375,57.8125,59,69.6875,59.90625,57.5,61.6875,62.09375,59.09375,66.3125,72.3125,60.8125,59.1875,62.1875,54.3125,66.875,56.59375,73.1875,61,56.5,59.5,63.1875,59.59375,56.1875,58,58.40625,59,59.5,60.3125,66
