ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
CYP,Cyprus,"[32.26, 34.57, 34.0, 35.17]",0.395,0.3990625,0.4209375,0.431875,0.4140625,0.4259375,0.415,0.418125,0.4040625,0.423125,0.4009375,0.401875,0.4309375,0.408125,0.4340625,0.401875,0.4240625,0.408125,0.4340625,0.4090625,0.413125,0.4209375,0.405,0.4040625,0.3940625,0.406875,0.4240625,0.401875,0.416875,0.416875,0.435,0.4440625,0.418125,0.413125,0.421875,0.4409375,0.4259375,0.4459375,0.4259375,0.4190625,0.423125,0.4240625,0.428125,0.466875,0.431875,0.4240625,0.44,0.4359375,0.431875,0.4609375,0.436875,0.436875,0.43,0.445,0.4459375,0.435
CZE,Czech Republic,"[12.24, 48.56, 18.85, 51.12]",0.4109375,0.395,0.4859375,0.4259375,0.4759375,0.4359375,0.431875,0.446875,0.393125,0.421875,0.4440625,0.4290625,0.456875,0.4409375,0.436875,0.4190625,0.431875,0.4240625,0.4440625,0.463125,0.468125,0.4340625,0.451875,0.455,0.44,0.398125,0.463125,0.44,0.4940625,0.565,0.44,0.4809375,0.47,0.475,0.465,0.4690625,0.4640625,0.476875,0.533125,0.443125,0.5109375,0.4709375,0.5059375,0.4340625,0.46,0.463125,0.4540625,0.478125,0.483125,0.4809375,0.485,0.466875,0.536875,0.5190625,0.493125,0.493125
DEU,Germany,"[5.99, 47.3, 15.02, 54.98]",0.366875,0.4209375,0.408125,0.3740625,0.441875,0.383125,0.406875,0.4140625,0.3940625,0.4240625,0.4409375,0.3859375,0.4259375,0.4409375,0.408125,0.423125,0.4109375,0.408125,0.453125,0.4609375,0.413125,0.4290625,0.4240625,0.455,0.465,0.413125,0.4459375,0.445,0.4540625,0.571875,0.4340625,0.498125,0.4609375,0.4690625,0.4209375,0.463125,0.458125,0.441875,0.428125,0.445,0.426875,0.458125,0.4490625,0.498125,0.441875,0.4840625,0.4440625,0.4540625,0.463125,0.436875,0.4759375,0.456875,0.475,0.488125,0.5490625,0.4890625
DJI,Djibouti,"[41.66, 10.93, 43.32, 12.7]",0.4790625,0.5590625,0.5940625,0.485,0.668125,0.5940625,0.523125,0.571875,0.48,0.476875,0.543125,0.635,0.69625,0.693125,0.59,0.65625,0.4840625,0.548125,0.5159375,0.64,0.5640625,0.626875,0.741875,0.5590625,0.535,0.491875,0.5009375,0.531875,0.5509375,0.515,0.4990625,0.535,0.5090625,0.563125,0.581875,0.5690625,0.66375,0.5940625,0.72125,0.526875,0.538125,0.5259375,0.5640625,0.513125,0.506875,0.52,0.596875,0.6109375,0.5159375,0.516875,0.518125,0.515,0.5640625,0.5609375,0.675,0.5190625
DNK,Denmark,"[8.09, 54.8, 12.69, 57.73]",0.255,0.335,0.386875,0.305,0.3440625,0.28203125,0.28703125,0.295,0.2940625,0.3459375,0.3640625,0.34,0.345,0.3259375,0.3109375,0.355,0.338125,0.31703125,0.3909375,0.333125,0.305,0.3590625,0.3509375,0.3390625,0.3140625,0.285,0.358125,0.34,0.35,0.3809375,0.3559375,0.3690625,0.323125,0.376875,0.351875,0.356875,0.3940625,0.325,0.3640625,0.355,0.346875,0.35,0.3890625,0.333125,0.396875,0.3940625,0.355,0.3240625,0.396875,0.3890625,0.3890625,0.3640625,0.383125,0.385,0.368125,0.4109375
DOM,Dominican Republic,"[-71.95, 17.6, -68.32, 19.88]",0.393125,0.37,0.385,0.395,0.3759375,0.3859375,0.3809375,0.3809375,0.388125,0.411875,0.3740625,0.3890625,0.433125,0.3809375,0.381875,0.39,0.4140625,0.395,0.393125,0.493125,0.398125,0.483125,0.3990625,0.4440625,0.3990625,0.391875,0.4340625,0.473125,0.438125,0.398125,0.4090625,0.39,0.4040625,0.491875,0.4109375,0.411875,0.406875,0.4740625,0.415,0.44,0.41,0.4040625,0.4090625,0.56,0.4,0.4159375,0.441875,0.453125,0.4190625,0.413125,0.428125,0.43,0.42,0.4240625,0.4209375,0.441875
DZA,Algeria,"[-8.68, 19.06, 12.0, 37.12]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,"[-80.97, -4.96, -75.23, 1.38]",0.398125,0.4009375,0.4240625,0.42,0.4090625,0.391875,0.403125,0.388125,0.433125,0.413125,0.406875,0.3790625,0.416875,0.4009375,0.4059375,0.428125,0.445,0.4090625,0.38,0.41,0.37,0.3840625,0.4409375,0.423125,0.42,0.451875,0.4490625,0.461875,0.4290625,0.41,0.4209375,0.406875,0.44,0.4290625,0.4259375,0.471875,0.43,0.426875,0.48,0.4440625,0.4509375,0.435,0.443125,0.4759375,0.4740625,0.433125,0.4390625,0.4609375,0.4609375,0.461875,0.4359375,0.458125,0.491875,0.451875,0.46,0.4740625
EGY,Egypt,"[24.7, 22.0, 36.87, 31.59]",0.5140625,0.485,0.5190625,0.515,0.535,0.518125,0.53,0.5209375,0.5,0.51,0.503125,0.533125,0.75625,0.508125,0.5159375,0.505,0.5109375,0.4990625,0.523125,0.5359375,0.51,0.52,0.5859375,0.491875,0.5140625,0.5140625,0.523125,0.523125,0.505,0.61,0.523125,0.521875,0.518125,0.585,0.5390625,0.531875,0.515,0.555,0.69375,0.576875,0.5340625,0.528125,0.58,0.541875,0.5390625,0.525,0.5390625,0.541875,0.545,0.5290625,0.5390625,0.53,0.536875,0.531875,0.548125,0.6390625
ERI,Eritrea,"[36.32, 12.46, 43.08, 18.0]",0.5790625,0.523125,0.5990625,0.548125,0.653125,0.6209375,0.713125,0.61,0.54,0.5790625,0.615,0.5609375,0.69625,0.693125,0.703125,0.6109375,0.69125,0.5609375,0.768125,0.64,0.635,0.6040625,0.741875,0.583125,0.606875,0.6190625,0.6259375,0.578125,0.59,0.696875,0.5990625,0.575,0.616875,0.6209375,0.5909375,0.663125,0.723125,0.608125,0.591875,0.621875,0.543125,0.66875,0.5659375,0.731875,0.61,0.565,0.595,0.631875,0.5959375,0.561875,0.58,0.5840625,0.59,0.595,0.603125,0.66
